"2","['浙江省杭州学军中学', '杭州学军中学', '杭州市学军中学', '浙江杭州学军中学', '浙江省杭州市学军中学', '学军中学']","{'NOI': {'2009': [2, 1, 0], '2010': [1, 1, 2], '2011': [1, 1, 2], '2012': [2, 3, 0], '2013': [4, 0, 2], '2014': [2, 3, 0], '2015': [5, 3, 3], '2016': [2, 1, 0], '2017': [3, 0, 0], '2018': [2, 1, 0], '2019': [5, 0, 0], '2020': [2, 1, 0]}, 'CTSC': {'2010': [2, 0, 1], '2011': [1, 2, 1], '2012': [1, 4, 1], '2013': [0, 2, 1], '2014': [1, 2, 0], '2015': [4, 2, 4], '2016': [2, 2, 3], '2017': [2, 4, 3], '2018': [7, 9, 6], '2019': [4, 7, 3]}, 'APIO': {'2010': [1, 2, 1], '2011': [1, 1, 3], '2012': [2, 1, 4], '2013': [2, 4, 1], '2014': [2, 0, 0], '2015': [5, 2, 3], '2016': [4, 2, 1], '2017': [2, 0, 0], '2018': [6, 9, 9], '2019': [11, 3, 5], '2020': [3, 3, 7]}, 'NOIP提高': {'2010': [9, 0, 0], '2011': [12, 0, 0], '2012': [29, 0, 0], '2013': [24, 13, 0], '2014': [15, 13, 0], '2015': [17, 12, 0], '2016': [20, 8, 5], '2017': [35, 9, 2], '2018': [50, 20, 0], '2019': [50, 30, 4]}, 'NOID类': {'2011': [0, 0, 1], '2012': [2, 0, 1], '2013': [0, 2, 1], '2014': [1, 0, 3], '2015': [0, 1, 5], '2016': [0, 1, 1], '2017': [0, 1, 1], '2018': [2, 1, 0], '2019': [0, 2, 1], '2020': [0, 1, 0]}, 'WC': {'2015': [3, 6, 7], '2016': [2, 3, 4], '2017': [2, 2, 0], '2018': [3, 5, 2], '2019': [6, 4, 1], '2020': [1, 0, 0]}}","49739","A+","浙江","杭州市","1"
"0","['长沙市雅礼中学', '雅礼中学', '长沙雅礼中学', '湖南长沙市雅礼中学', '湖南省长沙市雅礼中学', '湖南省长沙雅礼中学']","{'NOI': {'2009': [1, 2, 0], '2010': [2, 3, 0], '2011': [3, 2, 0], '2012': [1, 3, 0], '2013': [2, 2, 3], '2014': [3, 0, 1], '2015': [2, 1, 3], '2016': [4, 1, 1], '2017': [2, 3, 2], '2018': [4, 7, 2], '2019': [0, 6, 1], '2020': [1, 5, 0]}, 'CTSC': {'2010': [2, 4, 1], '2011': [1, 5, 3], '2012': [1, 3, 2], '2014': [1, 2, 4], '2015': [2, 1, 2], '2016': [0, 5, 2], '2017': [3, 3, 10], '2018': [5, 7, 12], '2019': [3, 7, 2]}, 'APIO': {'2010': [4, 2, 3], '2011': [3, 5, 7], '2012': [5, 2, 0], '2013': [1, 1, 2], '2014': [2, 0, 0], '2015': [3, 1, 7], '2016': [2, 6, 2], '2017': [1, 5, 4], '2018': [4, 7, 11], '2020': [4, 7, 5]}, 'NOID类': {'2010': [0, 2, 0], '2012': [1, 2, 1], '2015': [0, 2, 3], '2016': [1, 3, 1], '2017': [1, 1, 2], '2018': [0, 1, 5], '2019': [0, 2, 0], '2020': [0, 3, 1]}, 'NOIP提高': {'2010': [22, 0, 0], '2011': [15, 0, 0], '2012': [24, 0, 0], '2013': [14, 11, 0], '2014': [23, 15, 0], '2015': [14, 16, 0], '2016': [35, 14, 6], '2017': [52, 30, 1], '2018': [44, 19, 0], '2019': [34, 14, 4]}, 'WC': {'2015': [4, 1, 4], '2016': [3, 5, 1], '2017': [1, 5, 1], '2018': [3, 10, 8], '2019': [1, 4, 2], '2020': [2, 10, 1]}, 'NOIP普及': {'2016': [0, 1, 0]}}","47192","A+","湖南","长沙市","2"
"7","['南京外国语学校', '南京市外国语学校', '南京外国语学院', '江苏南京外国语学校', '江苏省南京外国语学校']","{'NOI': {'2009': [1, 1, 0], '2010': [3, 0, 1], '2011': [1, 0, 0], '2012': [3, 1, 1], '2013': [1, 1, 1], '2014': [1, 0, 0], '2015': [0, 2, 2], '2016': [5, 2, 0], '2017': [3, 3, 1], '2018': [5, 1, 1], '2019': [1, 3, 1], '2020': [5, 2, 0]}, 'CTSC': {'2010': [0, 1, 0], '2012': [1, 1, 1], '2013': [1, 0, 1], '2014': [0, 1, 0], '2015': [1, 0, 1], '2016': [2, 6, 0], '2017': [2, 2, 1], '2018': [5, 2, 3], '2019': [0, 6, 3]}, 'APIO': {'2010': [3, 1, 0], '2011': [1, 1, 0], '2012': [2, 1, 0], '2013': [0, 0, 1], '2014': [0, 1, 0], '2015': [1, 1, 1], '2016': [4, 0, 0], '2017': [4, 2, 1], '2018': [2, 6, 4], '2019': [7, 1, 4], '2020': [9, 6, 8]}, 'NOIP提高': {'2010': [10, 0, 0], '2011': [8, 0, 0], '2012': [27, 0, 0], '2013': [15, 16, 0], '2014': [16, 22, 0], '2015': [20, 16, 0], '2016': [26, 7, 8], '2017': [31, 11, 10], '2018': [53, 8, 4], '2019': [53, 38, 12]}, 'NOID类': {'2012': [0, 0, 2], '2013': [0, 0, 1], '2014': [0, 2, 0], '2016': [0, 2, 2], '2017': [0, 0, 1], '2018': [0, 2, 0], '2019': [0, 6, 1], '2020': [1, 2, 2]}, 'NOIP普及': {'2013': [20, 14, 0], '2014': [14, 15, 0], '2015': [10, 19, 0], '2016': [24, 23, 6], '2017': [23, 12, 23], '2018': [40, 74, 0], '2019': [21, 29, 0]}, 'WC': {'2015': [0, 1, 0], '2016': [2, 4, 0], '2017': [2, 0, 2], '2018': [4, 0, 4], '2019': [2, 4, 4], '2020': [6, 5, 5]}}","45494","A+","江苏","南京市","3"
"1","['绍兴一中', '绍兴市第一中学', '浙江省绍兴市第一中学', '浙江绍兴市第一中学', '浙江省绍兴一中', '浙江绍兴一中']","{'NOI': {'2009': [2, 0, 0], '2010': [2, 2, 1], '2011': [3, 1, 1], '2012': [0, 3, 2], '2013': [3, 2, 0], '2014': [4, 1, 0], '2015': [4, 2, 0], '2016': [5, 2, 1], '2017': [3, 5, 4], '2018': [2, 2, 0], '2019': [2, 0, 1], '2020': [2, 2, 1]}, 'CTSC': {'2010': [1, 1, 2], '2011': [0, 6, 0], '2012': [0, 2, 2], '2013': [1, 0, 1], '2014': [1, 1, 3], '2015': [3, 4, 3], '2016': [2, 1, 1], '2017': [1, 6, 4], '2018': [4, 3, 1], '2019': [3, 0, 3]}, 'APIO': {'2010': [4, 2, 0], '2011': [3, 1, 5], '2012': [2, 3, 1], '2013': [3, 0, 2], '2014': [0, 0, 1], '2015': [4, 2, 1], '2016': [2, 4, 0], '2017': [4, 5, 3], '2018': [3, 5, 2], '2019': [7, 1, 6], '2020': [6, 4, 6]}, 'NOID类': {'2010': [0, 0, 3], '2011': [1, 1, 0], '2012': [0, 0, 2], '2013': [0, 0, 1], '2015': [1, 0, 0], '2016': [0, 2, 1], '2017': [1, 2, 5], '2018': [0, 2, 2], '2019': [0, 2, 1]}, 'NOIP提高': {'2010': [18, 0, 0], '2011': [11, 0, 0], '2012': [41, 0, 0], '2013': [17, 15, 0], '2014': [26, 14, 0], '2015': [29, 16, 0], '2016': [35, 13, 1], '2017': [35, 11, 1], '2018': [35, 11, 0], '2019': [34, 22, 1]}, 'WC': {'2015': [1, 6, 5], '2016': [4, 2, 5], '2017': [3, 5, 10], '2018': [3, 4, 2], '2019': [2, 2, 2], '2020': [1, 3, 0]}}","45319","A+","浙江","绍兴市","4"
"8","['四川省成都市第七中学', '四川省成都市第七中学', '成都市第七中学', '四川省成都市第七中学(高新校区)', '四川省成都市第七中学（高新校区）', '成都七中', '成都七中（高新校区）', '成都市第七中学（高新校区）', '四川省成都市第七中学区（高新校区）', '成都七中高新校区', '四川省成都长七中学高新校区', '四川成都市第七中学', '成都七中（林荫校区）', '成都七中（高新校区)', '成都七中林荫校区', '四川成都市第七中学林荫校区', '四川成都七中', '四川成都七中林荫校区', '四川省成都七中']","{'NOI': {'2009': [0, 1, 1], '2010': [0, 2, 0], '2011': [0, 1, 3], '2012': [2, 2, 1], '2013': [1, 2, 7], '2014': [1, 4, 1], '2015': [1, 2, 4], '2016': [2, 4, 0], '2017': [1, 2, 1], '2018': [3, 1, 1], '2019': [4, 0, 1], '2020': [2, 5, 0]}, 'CTSC': {'2010': [1, 2, 2], '2011': [0, 0, 3], '2012': [1, 0, 3], '2013': [0, 1, 3], '2014': [1, 3, 3], '2015': [2, 1, 6], '2016': [3, 1, 6], '2017': [1, 6, 2], '2018': [3, 5, 6], '2019': [2, 4, 5]}, 'APIO': {'2010': [3, 4, 2], '2011': [1, 0, 6], '2012': [2, 4, 1], '2013': [1, 1, 5], '2014': [1, 3, 1], '2015': [3, 5, 3], '2016': [4, 2, 5], '2017': [2, 4, 4], '2018': [6, 2, 5], '2019': [6, 1, 3], '2020': [5, 4, 5]}, 'NOID类': {'2010': [2, 1, 2], '2011': [0, 1, 3], '2012': [0, 2, 1], '2014': [0, 1, 0], '2015': [0, 0, 2], '2016': [0, 2, 1], '2017': [0, 2, 0], '2018': [0, 3, 0], '2019': [0, 0, 3]}, 'NOIP提高': {'2010': [12, 0, 0], '2011': [13, 0, 0], '2012': [30, 0, 0], '2013': [19, 39, 0], '2014': [22, 23, 0], '2015': [26, 27, 0], '2016': [37, 49, 20], '2017': [48, 44, 1], '2018': [41, 38, 7], '2019': [31, 32, 5]}, 'NOIP普及': {'2013': [2, 7, 0], '2014': [2, 2, 0], '2015': [2, 0, 0], '2016': [2, 4, 6], '2017': [3, 3, 6], '2018': [1, 8, 1], '2019': [3, 5, 0]}, 'WC': {'2015': [1, 4, 1], '2016': [2, 8, 4], '2017': [1, 3, 3], '2018': [1, 1, 5], '2019': [5, 1, 1], '2020': [2, 2, 3]}}","41798","A","四川","成都市","5"
"4","['中山市中山纪念中学', '中山纪念中学', '广东中山市中山纪念中学', '广东省中山纪念中学']","{'NOI': {'2009': [0, 0, 1], '2010': [1, 0, 1], '2011': [1, 1, 2], '2012': [0, 3, 2], '2013': [2, 1, 1], '2014': [4, 1, 0], '2015': [2, 3, 1], '2016': [2, 2, 1], '2017': [0, 5, 2], '2018': [3, 1, 0], '2019': [3, 2, 0], '2020': [1, 6, 0]}, 'APIO': {'2010': [0, 2, 0], '2011': [1, 0, 0], '2012': [3, 1, 1], '2013': [1, 0, 0], '2016': [1, 6, 3], '2017': [1, 5, 6], '2018': [1, 5, 3], '2020': [1, 4, 8]}, 'NOID类': {'2010': [0, 0, 2], '2012': [1, 0, 0], '2013': [2, 0, 0], '2014': [0, 2, 0], '2015': [1, 2, 0], '2016': [1, 3, 0], '2017': [0, 1, 1], '2018': [0, 2, 1], '2019': [0, 0, 2], '2020': [0, 1, 0]}, 'NOIP提高': {'2010': [17, 0, 0], '2011': [17, 0, 0], '2012': [32, 0, 0], '2013': [13, 9, 0], '2014': [18, 12, 0], '2015': [29, 25, 0], '2016': [45, 11, 6], '2017': [63, 11, 8], '2018': [74, 4, 2], '2019': [52, 23, 2]}, 'CTSC': {'2013': [1, 0, 0], '2014': [0, 2, 2], '2015': [0, 3, 0], '2017': [0, 9, 3], '2018': [4, 3, 3], '2019': [3, 2, 7]}, 'NOIP普及': {'2013': [21, 6, 0], '2014': [14, 10, 0], '2015': [25, 17, 0], '2016': [30, 25, 3], '2017': [26, 8, 2], '2018': [6, 9, 0], '2019': [24, 4, 0]}, 'WC': {'2015': [2, 1, 2], '2016': [4, 3, 6], '2017': [3, 3, 3], '2018': [2, 6, 3], '2019': [1, 4, 3], '2020': [1, 1, 3]}}","40423","A","广东","中山市","6"
"6","['湖南省长沙市长郡中学', '长沙市长郡中学', '湖南省长郡中学', '长郡中学', '湖南长沙市长郡中学', '湖南省长沙长郡中学']","{'NOI': {'2009': [1, 0, 0], '2010': [0, 3, 1], '2011': [1, 2, 1], '2012': [2, 1, 1], '2013': [1, 2, 4], '2014': [1, 4, 1], '2015': [1, 1, 1], '2016': [0, 4, 1], '2017': [3, 1, 1], '2018': [3, 0, 1], '2019': [2, 2, 1], '2020': [3, 1, 0]}, 'CTSC': {'2010': [1, 1, 0], '2011': [2, 2, 2], '2012': [1, 1, 2], '2013': [0, 0, 4], '2014': [2, 0, 5], '2015': [0, 5, 4], '2016': [1, 2, 8], '2017': [3, 3, 7], '2018': [2, 6, 8], '2019': [2, 6, 2]}, 'APIO': {'2010': [0, 1, 3], '2011': [0, 1, 0], '2012': [0, 0, 2], '2013': [0, 0, 3], '2014': [2, 2, 0], '2015': [2, 5, 2], '2016': [3, 1, 7], '2017': [2, 8, 4], '2018': [1, 6, 10], '2019': [6, 1, 6], '2020': [2, 3, 2]}, 'NOID类': {'2010': [1, 1, 1], '2011': [0, 2, 2], '2012': [0, 1, 1], '2013': [1, 0, 0], '2014': [4, 2, 2], '2015': [0, 0, 3], '2016': [0, 1, 2], '2017': [0, 3, 0], '2018': [1, 2, 0], '2019': [0, 2, 1]}, 'NOIP提高': {'2010': [19, 0, 0], '2011': [17, 0, 0], '2012': [37, 0, 0], '2013': [24, 17, 0], '2014': [17, 19, 0], '2015': [19, 27, 0], '2016': [32, 22, 16], '2017': [32, 31, 1], '2018': [39, 32, 11], '2019': [42, 19, 3]}, 'WC': {'2015': [1, 1, 6], '2016': [2, 1, 5], '2017': [4, 3, 1], '2018': [1, 4, 4], '2019': [2, 4, 4], '2020': [3, 0, 1]}}","38602","A","湖南","长沙市","7"
"9","['江苏省常州高级中学', '江苏省常州中学', '江苏省常州市高级中学']","{'NOI': {'2009': [1, 0, 1], '2010': [1, 3, 2], '2011': [2, 1, 6], '2012': [1, 2, 6], '2013': [2, 1, 2], '2014': [2, 2, 2], '2015': [2, 3, 1], '2016': [2, 3, 0], '2017': [2, 1, 1], '2018': [4, 0, 0], '2019': [4, 1, 1], '2020': [2, 4, 0]}, 'CTSC': {'2010': [0, 1, 1], '2011': [1, 1, 1], '2012': [1, 1, 1], '2014': [0, 1, 1], '2015': [2, 2, 2], '2016': [1, 1, 2], '2017': [2, 2, 2], '2018': [1, 8, 2], '2019': [5, 3, 2]}, 'APIO': {'2010': [2, 3, 7], '2011': [2, 5, 2], '2012': [1, 3, 5], '2013': [0, 3, 1], '2014': [0, 0, 2], '2015': [3, 6, 2], '2016': [2, 2, 5], '2017': [4, 2, 3], '2018': [4, 5, 2], '2019': [4, 1, 6], '2020': [4, 4, 0]}, 'NOID类': {'2010': [0, 1, 3], '2011': [0, 0, 2], '2013': [0, 1, 0], '2014': [0, 2, 0], '2015': [1, 1, 1], '2016': [0, 2, 2], '2017': [1, 1, 1], '2018': [0, 2, 1], '2019': [0, 3, 0], '2020': [0, 1, 0]}, 'NOIP提高': {'2010': [15, 0, 0], '2011': [12, 0, 0], '2012': [28, 0, 0], '2013': [17, 11, 0], '2014': [21, 16, 0], '2015': [19, 24, 0], '2016': [34, 11, 11], '2017': [30, 6, 7], '2018': [41, 16, 2], '2019': [25, 22, 1]}, 'WC': {'2015': [1, 2, 4], '2016': [2, 2, 3], '2017': [1, 2, 4], '2018': [1, 3, 2], '2019': [1, 5, 4], '2020': [0, 2, 4]}}","37881","A","江苏","常州市","8"
"5","['安徽师范大学附属中学', '安徽师大附中', '安师大附中', '芜湖安师大附中']","{'APIO': {'2010': [1, 1, 2], '2011': [1, 1, 1], '2012': [2, 0, 0], '2013': [0, 3, 1], '2014': [1, 2, 2], '2015': [3, 2, 3], '2016': [2, 4, 4], '2017': [4, 1, 6], '2018': [2, 6, 4], '2019': [0, 1, 3], '2020': [2, 3, 5]}, 'NOI': {'2010': [0, 1, 1], '2011': [1, 2, 1], '2013': [2, 1, 2], '2014': [1, 1, 2], '2015': [3, 2, 1], '2016': [5, 0, 1], '2017': [3, 1, 1], '2018': [1, 2, 2], '2019': [2, 2, 1], '2020': [0, 6, 0]}, 'NOID类': {'2010': [0, 1, 0], '2012': [0, 1, 1], '2015': [0, 1, 0], '2016': [0, 4, 0], '2017': [0, 3, 1], '2018': [1, 1, 2], '2019': [0, 1, 2]}, 'NOIP提高': {'2010': [21, 0, 0], '2011': [6, 0, 0], '2012': [39, 0, 0], '2013': [19, 12, 0], '2014': [30, 16, 0], '2015': [37, 15, 0], '2016': [30, 20, 2], '2017': [40, 17, 2], '2018': [38, 17, 2], '2019': [44, 13, 3]}, 'CTSC': {'2011': [1, 1, 0], '2014': [2, 0, 0], '2015': [2, 1, 1], '2016': [2, 5, 1], '2017': [5, 4, 4], '2018': [5, 5, 4], '2019': [1, 6, 8]}, 'WC': {'2015': [2, 2, 3], '2016': [3, 4, 3], '2017': [1, 5, 6], '2018': [4, 3, 2], '2019': [3, 1, 7], '2020': [3, 2, 2]}}","36841","A","安徽","芜湖市","9"
"10","['浙江杭州第二中学', '浙江省杭州第二中学', '杭州第二中学', '杭州市第二中学', '浙江省杭州第二中学（滨江校区）', '浙江省杭州市第二中学', '杭州二中', '杭二中']","{'NOI': {'2009': [1, 0, 0], '2012': [1, 0, 1], '2014': [2, 0, 0], '2016': [1, 3, 0], '2017': [4, 1, 0], '2018': [3, 0, 0], '2019': [4, 2, 0], '2020': [3, 0, 0]}, 'CTSC': {'2010': [0, 0, 1], '2014': [1, 0, 1], '2016': [1, 2, 1], '2017': [3, 5, 3], '2018': [1, 2, 1], '2019': [7, 0, 0]}, 'APIO': {'2010': [0, 0, 1], '2014': [0, 1, 0], '2015': [1, 0, 1], '2016': [1, 1, 2], '2017': [3, 5, 1], '2018': [1, 1, 1], '2019': [8, 0, 2], '2020': [2, 1, 0]}, 'NOID类': {'2010': [0, 0, 1], '2014': [0, 1, 0], '2017': [0, 1, 0], '2018': [0, 1, 0]}, 'NOIP提高': {'2010': [4, 0, 0], '2011': [3, 0, 0], '2012': [10, 0, 0], '2013': [6, 8, 0], '2014': [7, 10, 0], '2015': [5, 8, 0], '2016': [20, 9, 3], '2017': [32, 8, 2], '2018': [39, 12, 1], '2019': [38, 14, 1]}, 'WC': {'2015': [1, 0, 2], '2016': [1, 0, 3], '2017': [3, 2, 3], '2018': [1, 6, 2], '2019': [1, 2, 1], '2020': [2, 0, 0]}}","31476","A","浙江","杭州市","10"
